gu,adm_dong_nm,cluster,risk_type,gentrification_risk,xgb_pred_risk,xgb_risk_proba,risk_score,risk_score_display,risk_range,risk_grade,main_reason_1,main_reason_2,main_reason_3,main_reason_1_value,main_reason_2_value,main_reason_3_value,main_reason_1_shap,main_reason_2_shap,main_reason_3_shap,land_price_growth_final,transaction_growth_final,mkt_vital_balance,franchise_ratio_recent4_mean,franchise_ratio_change,bus_total_growth,new_corp_growth,external_inflow_log_recent,close_rate_recent_final,open_rate_recent_final
분당구,야탑3동,0,종합 성장형,0,0,0.0787,7.87,7.87,0~30점,관찰,부동산 거래량 증가율,최근 외부유입 규모,상권 활력 균형,-0.3382,13.99,0.002,0.2915,0.2261,0.029,0.0599622458041999,-0.3382352941176471,0.0020236087689713,4.694968142965378,-0.3448850447149585,0.5235843847586666,-0.4716981132075472,13.990019590895596,0.9153893313294964,0.999865837155747
분당구,정자2동,0,종합 성장형,0,0,0.0768,7.68,7.68,0~30점,관찰,최근 프랜차이즈 비율,최근 폐업률,신규기업 증가율,7.5621,0.6413,0.3333,0.3861,0.0447,0.0278,0.0580110242398622,0.094017094017094,0.0038167938931297,7.562142940698731,-0.7555963282025928,2.4139172927365733,0.3333333333333333,13.248538183454636,0.6412718331755534,0.9170422710687312
분당구,이매2동,0,종합 성장형,0,0,0.066,6.6,6.60,0~30점,관찰,공시지가 상승률,상권 활력 균형,최근 폐업률,0.069,0.0036,1.06,0.0255,0.0226,0.0127,0.0690431273286413,0.1894317048853439,0.0035685963521015,5.397662262678589,-0.7815156471362856,1.7774739694788404,-0.2,12.168608159307178,1.0599785997284186,1.1667688586434657
분당구,분당동,0,종합 성장형,0,0,0.0657,6.57,6.57,0~30점,관찰,최근 프랜차이즈 비율,신규기업 증가율,해당 없음,7.1014,0.4,,0.3276,0.0278,,0.0551118512425668,10.875,-0.0058721934369602,7.10137760313292,-0.4798329331987325,1.2557157379915245,0.4,13.600741483254268,0.8293136146546026,0.956149854446242
분당구,야탑2동,3,활력 정체형,0,0,0.0621,6.21,6.21,0~30점,관찰,부동산 거래량 증가율,버스 승하차 증가율,해당 없음,-0.3382,0.4444,,0.321,0.1475,,0.0599622458041999,-0.3382352941176471,0.0034461538461538,3.8401672622009553,-0.6271196282511915,0.4444376746763941,-0.2142857142857142,12.72410224077028,0.7843416581294971,1.0491284018871654
수정구,신흥3동,3,활력 정체형,0,0,0.0608,6.08,6.08,0~30점,관찰,최근 프랜차이즈 비율,버스 승하차 증가율,최근 폐업률,5.9207,0.1124,0.9908,0.0397,0.0138,0.0069,0.0537558136144637,0.8666666666666668,-0.0003381234150464,5.920699866973566,-0.1937758914125025,0.1124413463685908,0.0,12.97206480949135,0.9907974085472134,1.1606796950230038
중원구,상대원3동,3,활력 정체형,0,0,0.0559,5.59,5.59,0~30점,관찰,버스 승하차 증가율,해당 없음,해당 없음,0.4505,,,0.1595,,,0.0374198964456257,1.585365853658537,-0.0021923814743765,4.405723673871502,-1.034577166061581,,-1.0,11.584408659693286,1.1551661732911385,1.15786128207271
분당구,수내2동,3,활력 정체형,0,0,0.0552,5.52,5.52,0~30점,관찰,버스 승하차 증가율,상권 활력 균형,해당 없음,0.2064,0.0056,,0.0197,0.0103,,0.0619897792943468,-0.0404040404040403,0.0056031641397495,2.897885214388422,-0.1309834420183966,0.2063726158017884,-0.1428571428571428,11.721932383283232,0.9717456237976404,1.202577245294583
분당구,정자3동,0,종합 성장형,0,0,0.0505,5.05,5.05,0~30점,관찰,최근 외부유입 규모,최근 폐업률,상권 활력 균형,13.9239,0.6865,0.0036,0.1503,0.0051,0.0028,0.0580110242398622,0.094017094017094,0.0036376864314296,4.805429286367279,-0.8631466146263884,0.6652389376089929,-0.2857142857142857,13.923948429950206,0.6864867990081736,0.7405689538483329
수정구,수진2동,3,활력 정체형,0,0,0.0488,4.88,4.88,0~30점,관찰,버스 승하차 증가율,최근 폐업률,해당 없음,0.5755,1.0555,,0.0336,0.0173,,0.0555360027869747,1.6923076923076923,0.0007852375343541,4.35157229140582,-0.5550469003871363,0.5755395922274517,0.0,13.480182881084597,1.0555002447281867,1.1252579290424518
분당구,서현2동,0,종합 성장형,0,0,0.0438,4.38,4.38,0~30점,관찰,공시지가 상승률,상권 활력 균형,해당 없음,0.0712,0.0018,,0.1346,0.023,,0.0711531708351285,0.0727272727272727,0.0017528483786152,4.662024409926127,-0.4450614888783475,1.043105105683872,0.2222222222222222,13.418118230848815,0.8392242945568966,1.0351042080001094
중원구,은행1동,3,활력 정체형,0,0,0.0437,4.37,4.37,0~30점,관찰,버스 승하차 증가율,해당 없음,해당 없음,0.4505,,,0.1363,,,0.0395633649646591,1.3333333333333333,-0.0053022269353128,3.810762490678389,0.1350255932764961,,-0.6,10.873286538961452,1.271478233587486,0.3835472632951832
중원구,은행2동,3,활력 정체형,0,0,0.0437,4.37,4.37,0~30점,관찰,버스 승하차 증가율,신규기업 증가율,해당 없음,0.3838,0.3333,,0.1363,0.0278,,0.0395633649646591,1.3333333333333333,-0.0006744604316546,5.120453171444598,0.2403296571399913,0.3838475393413795,0.3333333333333333,13.3569207782047,0.8788194400981537,0.9131306255834172
수정구,태평1동,3,활력 정체형,0,0,0.0396,3.96,3.96,0~30점,관찰,신규기업 증가율,해당 없음,해당 없음,1.75,,,0.0278,,,0.0468774191123528,0.4838709677419355,-0.0026787554090253,5.300564899949892,-0.921822768892933,0.618592231679696,1.75,13.511190217346906,0.9259697976811606,0.9028018991713892
수정구,태평4동,0,종합 성장형,0,0,0.0377,3.77,3.77,0~30점,관찰,프랜차이즈 변화율,해당 없음,해당 없음,0.5445,,,0.1179,,,0.0468774191123528,0.4838709677419355,-0.0028116213683223,4.775969952486954,0.5445027807373943,1.8741302385416825,-1.0,12.303686748808866,0.9017181149204349,0.9942680993613796
중원구,하대원동,3,활력 정체형,0,0,0.036,3.6,3.60,0~30점,관찰,버스 승하차 증가율,해당 없음,해당 없음,0.4443,,,0.1363,,,0.039455721561271,1.0,-0.0025125628140703,2.8084646265192843,0.1804082963077422,0.4442751402502597,-0.375,13.166321074466648,0.850936569076336,0.9294192182191766
분당구,구미1동,0,종합 성장형,0,0,0.0353,3.53,3.53,0~30점,관찰,최근 외부유입 규모,해당 없음,해당 없음,14.176,,,0.249,,,0.062586592954481,3.360544217687075,0.0011862396204033,4.811550695360937,-0.1173809311143543,1.3047789305070734,-0.2127659574468085,14.176014668029907,0.9781885869955096,0.9892701730691772
분당구,정자동,0,종합 성장형,0,0,0.035,3.5,3.50,0~30점,관찰,최근 외부유입 규모,해당 없음,해당 없음,13.8692,,,0.1078,,,0.0580110242398622,0.094017094017094,0.0010327911179963,4.70477336060935,-0.5286754750813483,16.32290975290615,-0.2916666666666667,13.86920745014487,0.8945595822392901,1.0063427275325467
중원구,상대원2동,3,활력 정체형,0,0,0.0345,3.45,3.45,0~30점,관찰,최근 폐업률,버스 승하차 증가율,해당 없음,0.7038,0.1683,,0.0694,0.0272,,0.0374198964456257,1.585365853658537,-0.0029041626331074,3.4868011779677937,0.0440561807236856,0.1682751290854214,0.1428571428571428,12.629906943923682,0.7037804738985869,0.590702251434542
수정구,신흥1동,3,활력 정체형,0,0,0.0327,3.27,3.27,0~30점,관찰,신규기업 증가율,버스 승하차 증가율,해당 없음,1.0,0.0434,,0.0278,0.0272,,0.0537558136144637,0.8666666666666668,-0.0041785375118708,5.055550293257857,0.0411312417719518,0.0433893306136563,1.0,12.246708306691438,1.129590210016702,0.990485276270007
수정구,수진1동,3,활력 정체형,0,0,0.0294,2.94,2.94,0~30점,관찰,버스 승하차 증가율,신규기업 증가율,해당 없음,0.3373,2.5,,0.1363,0.0278,,0.0555360027869747,1.6923076923076923,0.0011874134177716,2.874117673432698,-0.4365125015491138,0.3372691623365702,2.5,12.567386612542984,1.0694993622328552,0.8189076698326124
수정구,태평2동,0,종합 성장형,0,0,0.0198,1.98,1.98,0~30점,관찰,최근 개업률,최근 프랜차이즈 비율,최근 외부유입 규모,0.9934,4.2173,12.7846,-1.8507,-0.5534,-0.4413,0.0468774191123528,0.4838709677419355,-0.0012004801920768,4.217315917322527,-0.0226372275069524,0.9950421663140732,-0.6666666666666666,12.784623632834212,1.0243913826691675,0.993373507267404
