행정동,period,avg_land_price,land_price_growth_rate,transaction_count,transaction_growth_rate,transaction_log_growth,transaction_new_activity_flag,z_land_price_growth,z_transaction_growth,z_transaction_log_growth,real_estate_pressure_index,real_estate_pressure_index_100,real_estate_pressure_level,kmeans_land_feature,kmeans_transaction_feature,real_estate_cluster,real_estate_cluster_name
도촌동,2025,3686912.328767123,3.3617534253309134,50.0,-63.76811594202898,-1.0026483004063658,0.0,0.5670672586850507,-0.9250885367955171,-1.6043118260059077,-0.17901063905523318,21.79563295448314,중하,0.5670672586850507,-0.9250885367955171,0,상승-거래정체형
백현동,2023,6237614.75409836,,11.666666666666666,,,0.0,,,,,,,,,,
백현동,2024,6474822.950819672,3.802867058525159,18.0,54.28571428571429,0.40546510810816416,0.0,0.9848806599814328,0.041270163290914125,0.3687363815374995,0.5130754116361734,36.156534275757046,상,0.9848806599814328,0.041270163290914125,0,상승-거래정체형
백현동,2025,6783124.590163934,4.761545476779916,46.333333333333336,157.40740740740742,0.912775789766711,0.0,1.8929203589133246,0.8853981778038424,1.0795800004260923,1.3891592683585836,54.335420850602176,상,1.8929203589133246,0.8853981778038424,2,상승-거래정체형
복정동,2023,5110309.756097561,,6.5,,,0.0,,,,,,,,,,
복정동,2024,5294512.195121951,3.604525905784918,5.0,-23.076923076923077,-0.2231435513142097,0.0,0.7970161611144175,-0.5920007567020504,-0.5120699379108681,0.10250770220618355,27.63718562693627,중상,0.7970161611144175,-0.5920007567020504,0,상승-거래정체형
복정동,2025,5454171.084337349,3.0155542820828303,22.0,340.0,1.3437347467010947,0.0,0.23915483276671717,2.380054810992203,1.6834395989233306,1.30960482187946,52.68465277860606,상,0.23915483276671717,2.380054810992203,2,상승-거래정체형
분당동,2023,4635062.5,,8.0,,,0.0,,,,,,,,,,
분당동,2024,4728656.25,2.01925540378366,10.0,25.0,0.2006706954621511,0.0,-0.7045181615037688,-0.1984552630984681,0.08177849423750687,-0.4514867123011184,16.14170885590725,중하,-0.7045181615037688,-0.1984552630984681,1,하락-거래위축형
분당동,2025,4890509.375,3.4228143566155818,95.0,850.0,2.1664529186694654,0.0,0.6249028671690389,6.554785407139004,2.836232125931522,3.5898441371540217,100.0,상,0.6249028671690389,6.554785407139004,3,상승-거래활성형
산성동,2023,5743156.666666667,,34.0,,,0.0,,,,,,,,,,
산성동,2024,5847256.666666667,1.8125920298186766,55.0,61.76470588235294,0.47000362924573613,0.0,-0.9002652903658526,0.10249129083368312,0.4591677435840563,-0.3988869997660847,17.23316168968183,중하,-0.9002652903658526,0.10249129083368312,1,하락-거래위축형
산성동,2025,6145406.666666667,5.09897233859525,1.0,-98.18181818181819,-3.3322045101752042,0.0,2.2125238674309307,-1.2067903714369559,-4.868485490046826,0.5028667479969874,35.94470279757891,상,2.2125238674309307,-1.2067903714369559,0,상승-거래정체형
삼평동,2023,8030904.109589041,,38.0,,,0.0,,,,,,,,,,
삼평동,2024,8259884.931506849,2.8512458721104705,56.0,47.368421052631575,0.37948962170490397,0.0,0.08352542014794714,-0.015353043969222432,0.33233953553197276,0.034086188089362354,26.217427763730978,중상,0.08352542014794714,-0.015353043969222432,0,상승-거래정체형
삼평동,2025,8648802.739726027,4.708513634804697,33.5,-40.17857142857143,-0.502091943797236,0.0,1.842689732142101,-0.7319905108553247,-0.9029323659353012,0.5553496106433882,37.033730976618166,상,1.842689732142101,-0.7319905108553247,0,상승-거래정체형
상대원1동,2023,3946620.5955334986,,13.666666666666666,,,0.0,,,,,,,,,,
상대원1동,2024,3991149.627791563,1.128282569357167,40.666666666666664,197.5609756097561,1.04412410338404,0.0,-1.5484285791409529,1.2140850988211216,1.2636252294392254,-0.16717174015991565,22.04129208692533,중하,-1.5484285791409529,1.2140850988211216,1,하락-거래위축형
상대원1동,2025,4094302.729528536,2.5845460921506747,35.333333333333336,-13.114754098360645,-0.13696585507315762,0.0,-0.16908690875037594,-0.5104529691750129,-0.3913177683267422,-0.3397699389626944,18.459850590221144,중하,-0.16908690875037594,-0.5104529691750129,0,상승-거래정체형
상대원2동,2023,3946620.5955334986,,13.666666666666666,,,0.0,,,,,,,,,,
상대원2동,2024,3991149.627791563,1.128282569357167,40.666666666666664,197.5609756097561,1.04412410338404,0.0,-1.5484285791409529,1.2140850988211216,1.2636252294392254,-0.16717174015991565,22.04129208692533,중하,-1.5484285791409529,1.2140850988211216,1,하락-거래위축형
상대원2동,2025,4094302.729528536,2.5845460921506747,35.333333333333336,-13.114754098360645,-0.13696585507315762,0.0,-0.16908690875037594,-0.5104529691750129,-0.3913177683267422,-0.3397699389626944,18.459850590221144,중하,-0.16908690875037594,-0.5104529691750129,0,상승-거래정체형
상대원3동,2023,3946620.5955334986,,13.666666666666666,,,0.0,,,,,,,,,,
상대원3동,2024,3991149.627791563,1.128282569357167,40.666666666666664,197.5609756097561,1.04412410338404,0.0,-1.5484285791409529,1.2140850988211216,1.2636252294392254,-0.16717174015991565,22.04129208692533,중하,-1.5484285791409529,1.2140850988211216,1,하락-거래위축형
상대원3동,2025,4094302.729528536,2.5845460921506747,35.333333333333336,-13.114754098360645,-0.13696585507315762,0.0,-0.16908690875037594,-0.5104529691750129,-0.3913177683267422,-0.3397699389626944,18.459850590221144,중하,-0.16908690875037594,-0.5104529691750129,0,상승-거래정체형
서현1동,2023,5725533.9506172845,,121.0,,,0.0,,,,,,,,,,
서현1동,2024,5924327.160493827,3.4720466526115086,43.0,-64.46280991735537,-1.0198314108149957,0.0,0.6715346452320634,-0.9307751254107209,-1.6283887966439001,-0.12962024008932876,22.82049199485696,중하,0.6715346452320634,-0.9307751254107209,0,상승-거래정체형
